Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60531406,Tress of the Emerald Sea,Brandon Sanderson,"Sanderson, Brandon",Howard Lyon,"=""""","=""""",0,4.40,Dragonsteel Entertainment,Kindle Edition,483,2023,2023,,2024/08/01,,,read,,,,1,0
23397921,Sixth of the Dusk (The Cosmere),Brandon Sanderson,"Sanderson, Brandon",,"=""1938570073""","=""""",4,4.22,"Dragonsteel, LLC",Kindle Edition,59,2014,2014,,2024/07/12,,,read,,,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",0,4.18,Tor Fantasy,Mass Market Paperback,638,2006,2005,,2024/06/22,,,read,,,,1,0
10585,Insomnia,Stephen King,"King, Stephen",Bettina Blanch Tyroller,"=""8497597729""","=""9788497597722""",0,3.83,Debolsillo,Paperback,896,2005,1994,,2024/06/22,,,read,,,,1,0
57355851,Leviathan Falls (The Expanse #9),James S.A. Corey,"Corey, James S.A.",,"=""0316332917""","=""9780316332910""",0,4.54,Orbit,Hardcover,528,2021,2021,,2024/06/06,,,read,,,,1,0
195097159,Light Bringer: A Red Rising Novel,Pierce Brown,"Brown, Pierce",,"=""""","=""""",0,4.75,DelRey,Hardcover,697,2023,2023,,2024/06/06,,,read,,,,1,0
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316897""","=""9780765316899""",0,4.54,Tor Books,Hardcover,572,2008,2008,,2024/06/06,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",0,4.38,Tor Books,Hardcover,590,2007,2007,,2024/06/06,,,read,,,,1,0
34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""076532637X""","=""9780765326379""",0,4.62,Tor Books,Hardcover,1243,2017,2017,,2024/06/06,,,read,,,,1,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",0,4.76,Tor Books,Hardcover,1087,2014,2014,,2024/06/06,,,read,,,,1,0
60321049,Halo: Outcasts (31),Troy Denning,"Denning, Troy",,"=""1668003287""","=""9781668003282""",0,4.04,Gallery Books,Paperback,384,2023,,,2024/03/02,,,read,,,,1,0
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",0,4.44,Orbit,Kindle Edition,536,2015,2015,,2024/03/02,,,read,,,,1,0
29226553,"Dark Age (Red Rising Saga, #5)",Pierce Brown,"Brown, Pierce",,"=""0425285952""","=""9780425285954""",0,4.48,Del Rey,ebook,704,2019,2019,,2024/03/02,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.27,Ace,Hardcover,658,2019,1965,,2024/03/02,,,read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.66,Tor Books,Hardcover,1007,2010,2010,,2024/03/02,,,read,,,,1,0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",0,4.48,Tor Books,Hardcover,541,2006,2006,,2024/03/02,,,read,,,,1,0
